Identifier,N_kw = 5,N_kw = 10,N_kw = 15
3423,#N/A,#N/A,#N/A
3426,711,1991,656
3429,2845,2420,#N/A
3443,417,3026,#N/A
3444,#N/A,#N/A,#N/A
3459,4693,#N/A,#N/A
3464,4520,1316,#N/A
3472,#N/A,2877,#N/A
3480,3867,#N/A,#N/A
3489,#N/A,#N/A,#N/A
3501,#N/A,#N/A,#N/A
3513,#N/A,1429,#N/A
3519,#N/A,#N/A,#N/A
3522,#N/A,#N/A,#N/A
3525,2610,#N/A,#N/A
3526,2260,71,306
3549,#N/A,#N/A,#N/A
3553,#N/A,#N/A,#N/A
3556,#N/A,#N/A,#N/A
3559,2271,2098,#N/A
3560,#N/A,#N/A,#N/A
3567,#N/A,#N/A,#N/A
3569,3300,#N/A,#N/A
3580,#N/A,#N/A,#N/A
3583,4429,#N/A,#N/A
3589,3536,1520,#N/A
3597,4589,#N/A,#N/A
3601,#N/A,#N/A,#N/A
3608,2353,#N/A,#N/A
3625,#N/A,#N/A,#N/A
3629,3494,556,#N/A
3633,620,949,#N/A
3639,1304,#N/A,974
3640,#N/A,#N/A,#N/A
3650,#N/A,#N/A,#N/A
3652,#N/A,#N/A,#N/A
3658,2432,#N/A,#N/A
3662,310,1976,#N/A
3665,3684,1084,#N/A
3674,176,#N/A,#N/A
3676,#N/A,2256,#N/A
3679,#N/A,#N/A,#N/A
3689,4403,#N/A,#N/A
3692,560,#N/A,#N/A
3693,3101,#N/A,#N/A
3697,1017,138,662
3704,4608,#N/A,1371
3715,#N/A,#N/A,#N/A
3720,3370,1740,#N/A
3722,#N/A,#N/A,#N/A
3733,2124,62,711
3740,1637,431,#N/A
3747,163,2252,#N/A
3752,#N/A,1742,#N/A
3754,#N/A,#N/A,#N/A
3762,#N/A,2617,695
3768,1361,#N/A,#N/A
3776,4167,279,512
3777,1483,#N/A,#N/A
3789,#N/A,#N/A,#N/A
3793,159,2255,#N/A
3802,4432,#N/A,957
3803,#N/A,1602,594
3808,#N/A,#N/A,#N/A
3816,4600,#N/A,#N/A
3817,3807,#N/A,#N/A
3827,4624,#N/A,#N/A
3829,#N/A,#N/A,#N/A
3838,4175,#N/A,#N/A
3840,#N/A,#N/A,#N/A
3841,#N/A,#N/A,#N/A
3846,306,287,#N/A
3847,3794,2371,#N/A
3849,#N/A,3190,#N/A
3851,2294,#N/A,#N/A
3854,3946,#N/A,#N/A
3858,#N/A,#N/A,#N/A
3860,#N/A,#N/A,#N/A
3869,1813,568,#N/A
3871,2131,#N/A,#N/A
3876,366,#N/A,#N/A
3879,#N/A,#N/A,#N/A
3883,#N/A,#N/A,#N/A
3890,1199,#N/A,#N/A
3893,2880,#N/A,#N/A
3896,4409,#N/A,#N/A
3903,#N/A,2777,#N/A
3904,365,#N/A,#N/A
3907,#N/A,#N/A,#N/A
3914,4481,#N/A,#N/A
3921,#N/A,#N/A,#N/A
3923,#N/A,#N/A,#N/A
3924,1954,142,1283
3929,#N/A,#N/A,#N/A
3937,#N/A,#N/A,#N/A
3944,1792,#N/A,1415
3955,#N/A,#N/A,#N/A
3959,3662,3470,#N/A
3960,2608,#N/A,#N/A
3967,#N/A,#N/A,#N/A
3968,1226,#N/A,#N/A
3970,#N/A,#N/A,#N/A
3971,2612,#N/A,#N/A
3977,4347,#N/A,#N/A
3979,#N/A,#N/A,#N/A
3981,115,#N/A,#N/A
3982,#N/A,#N/A,484
3983,#N/A,#N/A,#N/A
3988,3841,1907,#N/A
3989,3929,2570,#N/A
3991,2203,3244,#N/A
4002,1477,2324,166
4008,#N/A,1175,#N/A
4016,#N/A,#N/A,#N/A
4026,3763,1114,24
4038,1290,304,57
4041,#N/A,#N/A,#N/A
4042,#N/A,1661,#N/A
4047,#N/A,#N/A,#N/A
4052,#N/A,#N/A,#N/A
4055,#N/A,3361,#N/A
4060,#N/A,#N/A,#N/A
4067,#N/A,#N/A,#N/A
4071,4198,#N/A,#N/A
4082,#N/A,#N/A,549
4088,#N/A,2993,#N/A
4090,#N/A,#N/A,#N/A
4094,#N/A,877,1206
4098,2471,#N/A,#N/A
4104,#N/A,#N/A,#N/A
4107,#N/A,#N/A,#N/A
4110,#N/A,#N/A,#N/A
4126,#N/A,#N/A,#N/A
4139,#N/A,#N/A,#N/A
4142,2255,#N/A,#N/A
4152,#N/A,#N/A,#N/A
4154,#N/A,2244,#N/A
4156,2031,#N/A,#N/A
4159,#N/A,#N/A,#N/A
4161,2446,2808,#N/A
4174,#N/A,#N/A,#N/A
4181,#N/A,#N/A,#N/A
4184,#N/A,#N/A,#N/A
4191,2521,#N/A,#N/A
4193,612,183,1480
4198,4628,2429,#N/A
4204,2780,#N/A,#N/A
4211,3062,#N/A,#N/A
4212,892,#N/A,#N/A
4215,#N/A,#N/A,#N/A
